system,question_idx,rank,question,question_type,prediction,gold_answer,llm_score,f1_score,combined_score,retrieved_docs,correct_doc,failure_type
Azure_flant5,36,19,How many national titles has Petro de Luanda won?,factoid,"BAL has elevated African clubs onto the continental and global stage, enabling participation in FIBA Intercontinental Cups and boosting international visibility.",18,1,0.0,0.1,"top_10_african_basketball_clubs_summary.txt, luol_deng_south_sudan_summary.txt, afrobasket_summary.txt",top_10_african_basketball_clubs_summary.txt,Bad Generation (right docs retrieved)
Azure_flant5,37,20,What percentage of LGBT individuals witnessed homophobia in sport according to studies mentioned?,factoid,0,80%,1,0.0,0.1,"disability_barriers_in_sports_summary.txt, sports_limitations_addressing_sdgs_summary.txt, colonial_history_sport.txt",sports_limitations_addressing_sdgs_summary.txt,Bad Generation (right docs retrieved)
Local_flant5,2,1,In what year was FIBA Africa established?,factoid,Title: AfroBasket – Africa’s Premier Basketball Championship,1961,1,0.0,0.1,"fiba_africa_history.txt, afrobasket_summary.txt, basketball_africa_societal_impact_summary.txt",fiba_africa_history.txt,Bad Generation (right docs retrieved)
Local_flant5,7,2,What role do international partnerships play in the rise of African basketball?,factoid,Basketball in Africa,"They provide infrastructure, investment, and global visibility",1,0.0,0.1,"rise_of_african_basketball.txt, rise_and_rise_african_basketball.txt, africabasket_two_countries.txt",rise_of_african_basketball.txt,Bad Generation (right docs retrieved)
Local_flant5,8,3,"What publisher is associated with ""Sport and Apartheid South Africa""?",factoid,The Elephant,Routledge,1,0.0,0.1,"rise_and_rise_african_basketball.txt, basketball_national_league_summary.txt, colonialism_sport_book_summary.txt",colonialism_sport_book_summary.txt,Bad Generation (right docs retrieved)
Local_flant5,11,4,In what year was Hakeem Olajuwon drafted first overall in the NBA Draft?,factoid,Joel Embiid.,1984,1,0.0,0.1,"hakeem_olajuwon_summary.txt, joel_embiid_summary.txt, pascal_siakam_summary.txt",hakeem_olajuwon_summary.txt,Bad Generation (right docs retrieved)
Local_flant5,12,5,At what age was Joel Embiid introduced to basketball?,factoid,Africa.,15,1,0.0,0.1,"joel_embiid_summary.txt, rise_of_african_basketball.txt, rise_and_rise_african_basketball.txt",joel_embiid_summary.txt,Bad Generation (right docs retrieved)
Local_flant5,13,6,How many times did Dikembe Mutombo win the NBA Defensive Player of the Year award?,factoid,Houston Rockets in the 1980s.,4,1,0.0,0.1,"dikembe_mutombo_summary.txt, hakeem_olajuwon_summary.txt, joel_embiid_summary.txt",dikembe_mutombo_summary.txt,Bad Generation (right docs retrieved)
Local_flant5,14,7,In what year did Pascal Siakam win the NBA Championship?,factoid,Houston Rockets.,2019,1,0.0,0.1,"pascal_siakam_summary.txt, hakeem_olajuwon_summary.txt, serge_ibaka_summary.txt",pascal_siakam_summary.txt,Bad Generation (right docs retrieved)
Local_flant5,15,8,What role has Luol Deng played in South Sudan basketball development?,factoid,URL: https://www.forbes.com/sites/sindiswamabunda/2025/04/04/the-business-of-basketball-the-global-investment-behind-the-bal,Leadership in developing basketball programs and guiding the national team,1,0.0,0.1,"luol_deng_south_sudan_summary.txt, bal_global_investment_summary.txt, bal_first_scouting_combine_summary.txt",luol_deng_south_sudan_summary.txt,Bad Generation (right docs retrieved)
Local_flant5,16,9,Which country is Gab Gre Lasme originally from?,factoid,"Giannis Antetokounmpo’s emergence as an NBA superstar, and how his story reflects the league’s global reach.",Gabon,1,0.0,0.1,"gab_gre_lasme_summary.txt, giannis_antetokounmpo_summary.txt, joel_embiid_summary.txt",gab_gre_lasme_summary.txt,Bad Generation (right docs retrieved)
Local_flant5,17,10,How many times has Giannis Antetokounmpo won the NBA MVP award?,factoid,"Lagos, Nigeria, where he grew up.",2,1,0.0,0.1,"giannis_antetokounmpo_summary.txt, hakeem_olajuwon_summary.txt, joel_embiid_summary.txt",giannis_antetokounmpo_summary.txt,Bad Generation (right docs retrieved)
Local_flant5,18,11,In what year did Serge Ibaka win the NBA Championship?,factoid,Title: Hakeem Olajuwon - Nigerian-American Basketball Legend,2019,1,0.0,0.1,"serge_ibaka_summary.txt, hakeem_olajuwon_summary.txt, pascal_siakam_summary.txt",serge_ibaka_summary.txt,Bad Generation (right docs retrieved)
Local_flant5,19,12,Which WNBA player from Nigeria has won the WNBA MVP award?,factoid,The relevant sentence in the passage is:,Nneka Ogwumike,1,0.0,0.1,"top_african_female_players_summary.txt, hakeem_olajuwon_summary.txt, nba_academy_bal_us_college_summary.txt",top_african_female_players_summary.txt,Bad Generation (right docs retrieved)
Local_flant5,20,13,What age groups do FIBA Africa's youth championships target?,factoid,Youth Development Initiatives,U16 and U18,1,0.0,0.1,"fiba_africa_youth_competitions_summary.txt, fiba_africa_youth_development.txt, afrobasket_summary.txt",fiba_africa_youth_development.txt,Bad Generation (right docs retrieved)
Local_flant5,27,14,How many youth competition categories does FIBA Africa organize?,factoid,Youth Development Initiatives,4,1,0.0,0.1,"fiba_africa_youth_competitions_summary.txt, fiba_africa_youth_development.txt, fiba_africa_history.txt",fiba_africa_youth_competitions_summary.txt,Bad Generation (right docs retrieved)
Local_flant5,29,15,Which NCAA Division I school did Jana El Alfy enroll at?,factoid,The 5th Afro Varsity 3x3 Basketball Challenge,UConn,1,0.0,0.1,"nba_academy_bal_us_college_summary.txt, afro_varsity_3x3_challenge_summary.txt, top_african_female_players_summary.txt",nba_academy_bal_us_college_summary.txt,Bad Generation (right docs retrieved)
Local_flant5,30,16,How many sub-zones does FIBA Africa organize its national federations into?,factoid,"Since its establishment in 1961, FIBA Africa has grown into the governing body for basketball in Africa.",7,1,0.0,0.1,"fiba_africa_sub_zones_summary.txt, fiba_africa_history.txt, afrobasket_summary.txt",fiba_africa_sub_zones_summary.txt,Bad Generation (right docs retrieved)
Local_flant5,31,17,In what year did 3x3 basketball become an official discipline of the African Games?,factoid,5th Afro Varsity 3x3 Basketball Challenge,2019,1,0.0,0.1,"african_games_3x3_basketball_summary.txt, afro_varsity_3x3_challenge_summary.txt, afrobasket_summary.txt",african_games_3x3_basketball_summary.txt,Bad Generation (right docs retrieved)
Local_flant5,33,18,How many countries and territories can access BAL broadcasts?,factoid,URL: https://www.espn.co.uk/espn/story/_/id/47104972/espn-africa-broadcast-international-basketball-new-fiba-deal,214,1,0.0,0.1,"espn_africa_fiba_broadcast_deal_summary.txt, bal_africa_sports_economy_summary.txt, bal_rdb_multi_year_extension_summary.txt",bal_global_investment_summary.txt,Bad Retrieval (wrong docs retrieved)
Local_flant5,34,19,Which organization established Club Rafiki in Kigali in 2022?,factoid,"Basketball is Booming in Africa, But Court Access Lags",Giants of Africa,1,0.0,0.1,"giants_of_africa_2025_kigali_summary.txt, basketball_africa_infrastructure_summary.txt, bal_rdb_multi_year_extension_summary.txt",basketball_africa_infrastructure_summary.txt,Bad Generation (right docs retrieved)
Local_flant5,35,20,When is the Giants of Africa Festival scheduled to take place in Kigali in 2025?,factoid,5th Afro Varsity 3x3 Basketball Challenge,"July 25 to August 2, 2025",1,0.0,0.1,"giants_of_africa_2025_kigali_summary.txt, afro_varsity_3x3_challenge_summary.txt, bal_rdb_multi_year_extension_summary.txt",giants_of_africa_2025_kigali_summary.txt,Bad Generation (right docs retrieved)
